,responsibility
565,Strategy development to achieve the brand objective
566,Compiling marketing campaign performance reports
567,Collaboration and communication of the delivery menu
568,"Conceptualise and execute effective CRM strategies for different tiers of customer base, monitor and analyse its effectiveness and ROI"
569,Actively involved in the customer UX and UI journey on CRM and e-commerce platforms.
570,Review the set up and categorisation of trigger communications and make improvements.
571,Manage all CRM campaigns and set-up relevant CRM campaigns from the backend.
572,Manage all COLLIN’S® Singapore Membership Programme and its related applications and ensure constant engagement with members.
573,Track and analyse CRM database to develop customer acquisition and retention initiatives – to maximise revenue per customer/data record by re-engaging a dormant/inactive audience.
574,Responsible to drive customer loyalty and retention through the delivery of insights and targeted CRM campaigns.
575,"Responsible for the acquisition, applications, renewals and retention of members."
576,Conduct competitive analysis to understand market trends and identify opportunities.
577,Support in organising of targeted events for members including the top customers and different segments.
578,"Provide data support and extractions for reporting, ad-hoc analysis and campaigns."
579,Support Marketing Manager in all other duties or projects as assigned.
580,Analysis of market situations and assist with program development and execution
581,Brief and manage creative agencies on program guidelines
582,Manage brands activities for the various brands and channels across APAC region
583,Assist with regional campaign management; collaborate with various stakeholders on display and activation toolkits
584,Work closely with the regional product marketing and brand teams
585,Support the Marketing Manager in the planning and execution of market research
586,Comply with marketing standards and assist with the development of marketing processes
587,Ad-hoc duties as assigned by the management
588,Collaborates with management to define and develop marketing strategies
589,"Identifies, establishes and maintains relationships with brand partners, third party vendors, etc."
590,"Increases growth goals, drives demand generation, and expands market share"
591,Markets products/brands within budget to obtain maximum profitability
592,Evaluates and adjusts strategies to respond to changing and/or competitive markets
593,Identifies and cultivates key relationships with applicable influencers
594,Negotiates with suppliers to obtain Marketing Development Funds (MDF) for assigned brand and manages MDF budgets to maximize Return On Investment (ROI)
595,"Collaborates with internal peers, and/or suppliers to effectively define, develop and execute marketing strategies"
596,Manages the introduction of new programs or features
597,Develops and/or implements marketing policies and objectives
598,Defines the internal and external communication strategy for areas of responsibility
599,"Develops, implements and/or maintains all standardized marketing methodologies, tools and collateral of the assigned area ensuring consistent ‘look and feel’ for internal and external communications. Coordinates and manages applicable events"
600,Contracts and works with outside vendors for development and delivery of marketing programs
601,May engage in contract negotiations
602,May manage fee-based marketing programs focused on targeted markets
603,May oversee the tracking of supplier rebates
604,Other duties as assigned
605,Focus and increase market share for automotive spare-parts products.
606,Meet sales and profit targets set by company.
607,Execute approved action plans and strategies towards achieving annual sales target.
608,Develop new market and strengthen existing customer base.
609,Conduct sales visits to foster relationship with customer to increase sales revenue.
610,Perform competitive analysis and develop sales proposal that suit customer need.
611,Follow general policies established for sales to adhere with the Company.
612,Ensure prompt payment collections.
613,Any other duties as & when assigned.
614,Contribute to the development of comprehensive marketing plans to achieve business objectives.
615,"Execute integrated marketing campaigns across various channels, including digital, social media, email, and traditional marketing."
616,"Create compelling and engaging content for various platforms, including websites, blogs, social media, and promotional materials."
617,Collaborate with the design team to ensure visually appealing and brand-consistent content.
618,Manage and grow the company's presence on social media platforms.
619,"Conduct market research to identify trends, competitor activities, and customer preferences."
620,"Work closely with sales, product development, and customer support teams to align marketing efforts with overall business goals."
621,Monitor and analyse the performance of marketing campaigns using relevant metrics.
622,Uphold and strengthen the company's brand identity through consistent messaging and visual representation.
623,Ensure brand guidelines are followed across all marketing materials.
624,Building relationships with clients
625,Presenting and demonstrating products and services
626,Developing and implementing sales strategies
627,Negotiating and closing deals
628,Maintaining accurate sales records
629,Achieving client’s sales targets
630,Managing marketing objectives
631,Strategic planning
632,Organizing and implementing promotional activities
633,Managing day-to-day operations
634,Managing company’s marketing materials & events
635,Leading & managing project teams
636,Coordinating & executing campaigns
637,Managing people & campaigns
638,Participating in career development program
639,Develop digital campaigns to increase interaction and engagement on social media platforms to create brand awareness and enhance social media presence for the group brands
640,"Align marketing with the brand, writing style, key messaging guidelines, ensuring compelling and consistent voice/style across all marketing materials and channels."
641,Creative content writing for marketing and promotional materials
642,"Design corporate materials for proposals, presentations and other marketing collaterals"
643,Manage and Maintain the company’s social media platform including websites
644,Market research -Conduct competitive monitoring and insights across the APAC region
645,Assist in driving market awareness and brand presence
646,Support in the execution of marketing strategies for product & brand publicity
647,"Responsible for brand management/activation, in areas of sponsorship/partnerships, promotions, and roadshows"
648,Plan and oversee the budget of assigned marketing campaign/projects and ensuring expenses of campaign/project is feasible and effective to assist in the said campaign
649,"Act as main liaison for internal counterparts, third party creative support, suppliers, and distributors in executing campaign or ad hoc project materials, and ensure timely and smooth implementation of marketing activities and monitor performance of the support plans"
650,Generate brand report every campaign/month/quarter
651,"Conduct consumer/market research by maintaining understanding of market landscape, customer requirements and mapping of competition activities"
652,Responsible for analyzing market trend and data using internal and external secondary research and hands-on primary research to provide perspective to influence portfolio of products and launches
653,Drive growth in sales and community involvement
654,Handle customers and provide game demos
655,Manage point of sale system
656,Stock products and conduct inventory checks
657,Marketing of store and products on social media platforms
658,Organize and run events to engage the community
659,"Manage marketing, sales, and product P&L to achieve profitability"
660,"Carry out advertising and promotion activities such as product launches, product training and promotions"
661,"Manage sales forecast, achieving monthly sales target, and accuracy through market information such as trend, economic factors, dealers"
662,"Monitor market & competitors’ trend to update and work closely with our corporate office, product domain and distribution team to develop and execute effective marketing and sales activities"
663,Interact and discuss with business partners to achieve sales objectives
664,Discussion and execution of activities to promote sell-out
665,Management of channel inventory
666,"Account management and follow up on all business-related activities e.g. AR, AP."
667,Other duties assigned in relation to the business
668,Develop and execute effective marketing strategies and initiatives
669,Organize and implement market research initiatives to gather relevant marketing data and insights
670,Monitor and analyze consumer market activities to identify opportunities for growth and improvement
671,"Support brand's digital marketing campaigns, including search engine marketing (SEM), and monitor their progress"
672,"Report performance on marketing campaigns and initiatives, identifying areas for improvement"
673,"Design and create product labels, packaging, corporate communications, public relations, marketing materials, including brochures, presentations, and digital assets ensuring consistency in brand messaging and design"
674,Ensure consistent and high-quality brand image
675,"Organize and assist in the execution of advertising and communication campaigns (social media, Tik Tok, etc.), exhibitions, and promotional events"
676,"Conduct surveys to assess customer requirements and satisfaction, using this data to inform future marketing efforts"
677,Assist in various ad-hoc marketing tasks and other related duties as assigned
678,"Plan and track digital media campaigns on Social, GDN, YouTube and SEM."
679,"Measure performance of digital marketing efforts using a variety of Web analytics tools (Google Analytics, WebTrends etc)"
680,Acquire insight in online marketing trends and keep strategies up to date.
681,Provide creative ideas for content marketing and update website.
682,Develop and implement digital marketing strategies and campaigns to generate B2B leads across.
683,"Launch optimized online adverts through Google Adwords, Facebook etc. to increase company and brand awareness."
684,Basic graphic design (Photoshop or Adobe Illustrator)
685,Copywriting and proofreading support for promotional communications and collaterals.
686,Conduct market research to identify selling possibilities and evaluate customer needs
687,Aligning to the business strategies
688,Maintain an accurate database
689,"Propose and plan for merchandise strategic launch, promotions & pricing strategy"
690,"Prepare sales forecasts, budget and sales performance analysis reports"
691,"Execute promotions strategy, seasonal campaign launch to support sales forecast at various platforms"
692,Take charge of inventory forecast for basic SKUs and promotional SKUs and work on inventory turnover ratio report
693,Implement corrective measures for slow-moving merchandise and take charge of stock allocation to various platforms
694,"Develop and execute a holistic marketing strategy spanning digital, offline, and social platforms to enhance brand awareness and drive lead generation."
695,"Oversee all aspects of marketing campaigns, from initial planning to ROI analysis, ensuring effective project management throughout."
696,"Conduct thorough research on market trends, opportunities, competitors, and target customer profiles to inform future value propositions."
697,"Devise and curate engaging content across various social media channels, encompassing creative design, compelling copywriting, photography editing, GIFs, short video production, stickers, live and pre-designed stories, as well as the creation of short videos."
698,Craft visually appealing promotional materials to support marketing efforts.
699,"Take charge of day-to-day management of all social media accounts, proactively engaging with consumers, addressing inquiries or concerns, and promoting company initiatives via digital communication channels."
700,Collaborate on ad hoc projects as needed to further company objectives.
701,"Manage the development and execution of regional digital marketing programs, including SEM, marketing automation, social media, website and online advertising campaigns"
702,"Evaluate the end-to-end customer experience to identify and execute campaigns that drive customer acquisition, maximize revenue, and improve retention"
703,"Provide analysis and reporting on digital projects/campaigns and placements, website traffic, social media impression and email campaigns"
704,Collaborate with creative & digital team and regional marketing teams to develop digital marketing activities to support campaign strategies and business goals
705,"Keep abreast of new social media sites, web technologies, and digital marketing trends and implement these new technologies to enhance brand awareness in the digital space"
706,"Support and execute the B2B digital demand generation strategy, including development with all inbound and outbound tactics, including emails, landing pages, forms, CTAs and workflows"
707,"Execute the marketing strategy, social media content, ad campaigns and maintaining brand awareness on relevant platforms."
708,"Manage social media accounts by engaging with followers, giving special offers, updating recent news and current promotions."
709,"Increase sales through online brand exposure and marketing including display ads such as Facebook ads, banner placements etc."
710,Collaborate with various departments to generate new ideas and promotional events.
711,Manage tracking dashboards to extract data for reporting on online actions.
712,"Review, assess and monitor the efficiency of online marketing and communications strategies."
713,Assist with planning and executing of marketing campaigns
714,To perform any other duties as assigned by the management and reporting manager.
715,"Manage and support all insights-driven branding, marketing, digital engagement, partnerships, and market development activities"
716,Analyze and interpret business data
717,Lead and manage campaigns and projects for key marketing initiatives
718,Communicate with overseas buyers to promote products
719,Secure new orders
720,Conduct new product development
721,Generate production orders
722,Establish good and long-term relationships with buyers
723,Report to Senior
724,"Execute all sales, marketing & promotional strategies to achieve sales target"
725,"Check and prepare all media, advertisement, distribution leaflets and marketing tools prior to launching"
726,"Carry out market survey of all competitors, compile and prepare market survey reports"
727,Monitor the marketing budget and maximize marketing returns
728,Brainstorm new & creative growth strategies with the team to develop effective digital marketing
729,Perform ad-hoc tasks as assigned by superior
730,meet reporting deadlines
731,work with minimum supervision
732,Collaborating with the marketing team and stakeholders to formulate effective brand strategies that align with the company's overall objectives.
733,Identifying the unique selling points of the brand and determining how to position it in the market to stand out from competitors.
734,Crafting compelling brand messages and ensuring consistent communication across all marketing materials and channels.
735,Designing and executing brand-focused marketing campaigns to increase brand awareness and engagement.
736,"Conducting market research to understand customer perceptions, preferences, and industry trends, and using insights to enhance the brand's positioning."
737,Developing and maintaining brand guidelines to ensure consistent visual representation and tone of voice across all touchpoints.
738,Collaborating with product marketing teams to ensure that product launches and updates are aligned with the overall brand strategy.
739,"Managing the brand's online presence, including social media platforms and website, to maintain a positive brand image and engage with the target audience."
740,Identifying and establishing partnerships and collaborations that can enhance the brand's reputation and visibility.
741,Tracking and analyzing key performance indicators (KPIs) to measure the success of brand marketing initiatives and making data-driven decisions for continuous improvement.
742,Handling brand-related crises and reputation management to mitigate potential damage to the brand's image.
743,"Organizing, preparing, and updating on-ground live events including HOTDs, webinars, live-sessions, customer events, exhibitions, and more as required & agreed with Sales Department"
744,Innovating and performing new lead generating activities to meet KPIs and Goals
745,"Performing calls and sending emails to leads/prospects/customers to qualify, invite, follow up on status and more"
746,"Creating marketing contents and copywriting for events, blogs, articles, and other marketing collateral for the company"
747,Creating & tracking reports for various stakeholders and customers (internal & external)
748,"Liaising with other departments and principals, sponsorships to ensure a smooth operation of events"
749,"Updating and upkeeping the CRM Databases, CVS website, Social Media, and more"
750,"Adhering to our company brand while creating marketing collateral like videos, images, posters, notices, etc for leads/prospects/customers"
751,"Performing purchase requests for brochures, merchandises, buntings, marketing materials and more"
752,"Assist in planning, executing, monitoring, and optimizing clients' marketing campaigns"
753,Be actively involved in enhancing campaign performances
754,Collate and help analyze performance report on a regular basis
755,Measure performance of digital marketing efforts using a variety of Web analytics tools (Google Analytics etc.)
756,Acquire insights via online marketing trends and keep strategies up-to-date
757,Assist in client account servicing
758,Maintain partnerships with media vendors
759,Strong collaboration with team members
760,Representing the company in direct contact with clients
761,Providing general advice to customers
762,Sales assistance
763,Market research for digital marketing
764,Product development and marketing
765,Analyze market and sales data to monitor and evaluate brand performance vs competitors.
766,Monitor and track market trends and competitors’ activities/ new launches and pricing in our key markets.
767,Collaborate closely with internal and external stakeholders to support the project management process and manage timelines for new launches.
768,"Lead packaging artwork changes, liaising between distributors and internal stakeholders to ensure artwork is approved on time."
769,"Develop and adapt creative content for marketing campaigns, including TVCs and digital assets."
770,Work with creative agencies to develop in-store POSM.
771,Develop trade presentation kits for new launches and campaigns.
772,"Evaluate marketing campaigns and BTL activities, and make recommendations to drive better ROI."
773,Assist in the preparation of annual marketing plans and other major presentations.
774,Assist in desktop research and other adhoc projects and reporting.
775,"Produce / edit / proofread content including posters, brochures, electronic direct mailers, press releases etc."
776,Oversee marketing efforts for public awareness of events and programmes
777,Moderation of communication channels including social media channels and Reception office
778,"Provide photography/videography, livestreaming support"
779,"Liaise with Government agencies, community, media, public etc."
780,"Conceptualize, plan and ensure smooth execution of various tactical, branding campaigns, marketing events, promotions and below the line (BTL) advertising"
781,"Organize and manage marketing strategies, plans, lead the development of communication ideas, oversee product launches and customer events"
782,"Plan, develop and create content for social media channels"
783,"Digital savvy with CMS, with customer interaction"
784,"Generate, update market reports and consumer insights"
785,Sourcing and creation of corporate premiums
786,Perform other ad-hoc duties as assigned by superior
787,Conduct market research and analysis
788,Develop marketing strategies
789,Manage communication of brand guidelines
790,Execute e-commerce implementation plans
791,Design and write copy for marketing distributions
792,Organize advertising and communication campaigns
793,Monitor progress of campaigns and submit reports
794,Assist in preparing budgets and monitoring expenses
795,Maintain relationships with external parties/agencies
796,Adhoc work to support operations
797,Plan and monitor the company's social media presence
798,Provide creative ideas for content marketing and updates on online marketplaces
799,Launch optimized online adverts to increase company and brand awareness
800,Acquire insights into online marketing trends
801,Perform ad hoc tasks assigned by management
802,Conduct market research and develop marketing strategies based on market demands.
803,Develop marketing materials for corporate clients.
804,Organise marketing activities to increase clientele for the clinics and utilization from existing corporate clients.
805,Conduct client surveys in order to obtain valuable feedback.
806,"Act as a liaison between corporate clients, clinics and the corporate office to ensure that information and enquiries are channeled accurately, and assist in resolving any problems that may arise."
807,Perform ad-hoc duties as and when assigned by the Superior(s).
808,Assisting in the development and execution of brand & marketing strategies
809,Conceptualising and developing campaigns to strengthen brand positioning
810,Planning yearly marketing calendar and budget for each brand
811,Executing overall marketing calendar for all brand strategies and campaigns
812,Collaborating with design agencies to execute designs and creative contents
813,Communicating with internal departments and mall A&P teams
814,Analyzing and evaluating effectiveness of activations and digital marketing campaigns
815,Increasing sales channels and online brand presence
816,Managing relationships with key media for PR coverage
817,Preparing monthly social media calendar
818,"Managing backend systems of website, e-Commerce, POS, CRM, and social media platforms"
819,Generating and preparing marketing reports for Management’s review
820,"Preparing brand book, packaging guidelines, and marketing collaterals"
821,Providing support to corporate sales and customer service functions
822,"Responsible for brand activity planning and execution, liaising with internal marketing team, business stakeholders, and external ad/design/web agencies"
823,Shared accountability for brands’ performance with the marketing team
824,"Conduct market research, to understand the industry and the key target market segments"
825,"Preparation of the brands’ marketing plan, the quarterly promotional strategy and implementation plan, in accordance to agreed business objectives"
826,Managing an effective and close working relationship with internal and external stakeholders
827,"Compile, monitor and analyse leads management and market/sales for all brands and provide timely business analyst reports"
828,Accountability for brands’ performance
829,"Develop and manage the agreed marketing budget for the brands, to deliver KPIs"
830,Providing relevant market and brand analyses
831,"Work closely with creative, operations and sales teams to ensure consistent execution to meet KPIs"
832,Keep abreast of technological developments in the market and monitor the competitive landscape to position favorably
833,Develop digital and social media strategies to engage target audience
834,Strategize and execute promotional campaigns on Lazada to boost sales
835,"Copywriting of quality and engaging content for E-Commerce product listings, social media posts and retail websites"
836,Generate sales report on the performance of products listed
837,Generate marketing report on campaign activities and traffic
838,"Plan and execute SEO campaigns, optimization and measuring impact/effectiveness"
839,Develop keyword plans through conducting keyword research on a regular basis to generate content ideas and optimize existing content
840,Conduct SEO audit on existing websites and recommend improvements
841,"Manage SEO-related assets, tools and platforms"
842,"Integrate on-page and off-page SEO(link building) with content marketing, social media marketing and digital PR initiatives"
843,Optimize web pages to boost organic search rankings
844,Regularly track and monitor new and existing keyword ranking positions and devise integrated marketing strategies to increase organic search rankings
845,Other ad-hoc duties as assigned
846,Drive branding and communication for service excellence
847,Drive service quality and customer satisfaction
848,Manage retail sales and marketing drives
849,Review data for trends and forecasts
850,Run customer acquisition and retention programs
851,"Inspect, scope and estimate projects"
852,Responsible for the solicitation of project documents and information
853,Maintaining and improving web content and social media posts
854,Supporting management in creating new content such as case studies and videos
855,Coordinating with printing company for brochures
856,Organizing marketing events for clients
857,Assisting in renewing or applying for licenses
858,Updating client's licensing particulars in the system
859,Providing assistance to clients regarding licensing matters
860,Coordinating with accounts receivable for invoice renewals
861,Performing any other ad-hoc tasks as required
862,Utilize Facebook Ads Manager to create effective ads
863,Strategize and launch digital marketing campaigns/advertisements to raise brand awareness
864,"Analyze information, actively troubleshoot issues and timely construct effective solutions"
865,"Monitor online campaign results and optimize marketing campaigns, generate quality lead and improve key metrics based on insights"
866,Monitor and manage all social media accounts and other relevant accounts
867,"Create engaging and creative contents, and optimize the use of relevant platforms to targeted audience"
868,Continuously improve company branding and customer branding
869,"Stay up to date with the latest social media practices, software systems and technologies to yield the best results"
870,"Plans and executes all web, SEO/SEM, database marketing, email, social media, and display advertising campaigns."
871,"Designs, builds, and maintains our social media presence."
872,Measures and reports performance of all digital marketing campaigns and assesses against goals (ROI and KPIs).
873,Identifies trends and insights and optimizes spend and performance based on the insights.
874,Brainstorms new and creative growth strategies through digital marketing.
875,"Plans, executes, and measures experiments and conversion tests."
876,Collaborates with internal teams to create landing pages and optimize user experience.
877,Utilizes strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touch points.
878,Identifies critical conversion points and drop off points and optimizes user funnels.
879,Collaborates with agencies and other vendor partners.
880,Evaluates emerging technologies.
881,Provides thought leadership and perspective for adoption where appropriate.
882,Identify business opportunities locally and overseas
883,Establish and maintain long-term business relationships
884,Assist in deciding product pricing and sales forecast
885,Provide industry and market information
886,Coordinate with Procurement and Production personnel for inventory management and production planning
887,Review production delivery schedule
888,Provide customers’ feedback and information for service and product improvement
889,Ensure adequate communication with customers on order status and marketing activities
890,Optimize bill collection and debtor turnover period
891,Achieve targeted sales budget and debtors collection
892,Perform sales support and administrative duties
893,Carry out other assigned duties
894,"Produce campaigns and reports for consumer products such as Credit Cards, Personal Loans, Deposits, Mortgages, Hire Purchase"
895,"Create and upload acquisition, cross-selling, and retention projects on batch or real-time basis"
896,Track results of campaigns
897,Timely production of standard reports from data extraction to publishing
898,Ensure accuracy and timely delivery of data products
899,Comply with department's SOP and compliance parameters
900,Contribute towards ad-hoc analytic projects
901,Managing marketing projects for venues and bridal boutique
902,Driving brand awareness and engagement across social media platforms
903,Maintenance of website
904,Prioritizing multiple projects and delivering them on time
905,Overseeing strategic planning and ensuring timely execution of marketing calendar
906,Submitting market research and marketing reports
907,"Searching and negotiating with vendors, influencers, and celebrities for marketing purposes"
908,Driving collaborations with industry partners
909,"Designing marketing collaterals, brochures, and presentation materials"
910,Handling other ad-hoc related work as assigned by management
911,Sourcing for new and transfer helper for potential employer.
912,Must be familiar in social media and digital marketing.
913,With realistic and achievable sales target
914,"Plan, analyze, and execute marketing activities"
915,Manage and plan digital marketing platform
916,Plan and execute marketing events and road shows
917,Prepare sales and marketing materials for sales promotions / launches
918,"Liaise with consultants, vendors, bankers, and government agencies / authorities to obtain all necessary authority approvals, licenses, and end financing"
919,Conduct market survey and competitor analysis to understand the market trends and purchasers’ preferences
920,Attend to customers’ inquiries and provide sales support during the weekend / sales event / roadshow / exhibition
921,Responsible for the management of all administrative work to ensure a smooth day-to-day operation
922,"Understand the marketplace: competitors’ products, pricing and sales strategies"
923,"Develop marketing strategy, product positioning and messaging"
924,"Carry out advertising and promotion activities (ie. product launches, product training and promotions etc.)"
925,"Work closely with sales team on product features, benefits and commercials."
926,"Manage marketing, sales and product P&L to achieve profitability"
927,Interact with business partners to achieve sales objectives
928,"Perform sales and inventory, and purchase management"
929,Create and manage daily social media posts to promote WeWatch services and content
930,Engage with the audience to build brand awareness and encourage interactions
931,Analyze social media data and metrics to measure campaign success
932,Stay updated with the latest social media best practices and technologies
933,Oversee end-to-end HR functions
934,Apply strategic marketing skills to enhance brand awareness
935,Address and resolve HR and marketing issues promptly
936,Assume full responsibility during weekends
937,"Ensure meticulous handling of agreements, quotas, and regulatory documents"
938,Lead and inspire a small marketing team
939,Navigate KDN and immigration matters accurately
940,Assisting Head of Marketing in formulating digital and offline marketing strategies
941,"Brainstorming with the Marketing Team to develop engaging health-related social media content, landing pages, SEO-centric articles, POS materials, etc."
942,Copywriting for social media content
943,Managing content calendars and project-managing marketing materials
944,"Liaising with doctor-partners, business partners, vendors & the media on collaborations & campaigns"
945,"Keeping track of all marketing campaigns, events, media features, etc; and post-campaign tracking"
946,Presenting using Microsoft Powerpoint
947,Develop and implement high impact acquisition programs
948,Contribute to driving subscriber base growth
949,Induce product usage and promote stickiness among existing customer base
950,Facilitate cross-functional collaboration
951,Perform market analysis and adopt best practices into organization
952,Collect and analyze feedback from customers and relevant parties
953,Handle inbound and outbound customer call inquiries
954,Provide fast and timely solutions to all customer related problems
955,Ensure customer satisfaction by providing excellent Customer Services
956,"Handle complaints, provide appropriate solutions and alternatives within the time limits and follow up to ensure resolution"
957,"Keep records of customer interactions, process customer accounts and file documents"
958,"Follow communication procedures, guidelines and policies"
959,Come up with fully-thought out marketing/advertising ideas that can be implemented from start to finish
960,"Analyze and report on target audience insights, consumer trends, market analysis, and marketing best practices to help build the best strategies possible"
961,Discuss and consolidate the data and findings to back up marketing ideas with the managing director or business executive
962,"Design or create marketing materials such as videos, articles, banners, posters, emails, etc."
963,Supporting marketing managers and officers
964,Preparing reports related to marketing operations
965,Coordinating with other departments like account and financial divisions
966,Ensuring necessary resources are available for the marketing team
967,Achieving sales targets
968,Finding new prospects
969,Creating reports as requested by superiors
970,Identify and develop new clients
971,Build relationships with existing clients
972,Provide product training and updates to clients
973,Evaluate consumer needs and conduct market research
974,Monitor customer outstanding payments and provide after sales service
975,Carry out marketing and business development tasks
976,Handle enquiries and complaints from clients
977,Assist in other ad-hoc tasks or duties assigned by the Management
978,Create interesting content in social media
979,Be host in social media
980,Run marketing advertisement including zero cost and paid advertising
981,Create awareness and develop the brand you're marketing
982,Communicate with target audiences
983,Build & develop customer relationships
984,"Help with marketing plans, advertising, direct marketing and campaigns"
985,Develop digital campaigns
986,Propose new marketing ideas
987,Source and scout for location and props for photo shoots
988,"Take, edit, and upload photos and videos to official social media platforms"
989,Write up contents for public release and official social media platforms
990,Create and manage all social media platforms
991,Manage and update company websites and website enquiries
992,Monitor current market conditions and competitors' information
993,Reach out to current database of customers
994,Provide monthly reports to Management
995,Perform administrative and marketing duties
996,Production and effective distribution of marketing collaterals and eNewsletter
997,Assist in managing the planned marketing budget of the year
998,Maintain monthly promotional listings and update the retail team accordingly
999,Source and manage influencers by campaign and develop long term relationship
1000,Supporting management in ad hoc projects and presentations
1001,Adaption and provide graphic design support to marketing collaterals
1002,Develop and implement effective marketing strategies on Shopee and Lazada platforms
1003,Ensure effective operation of stores on assigned e-commerce platforms
1004,Explore and research online materials to improve e-commerce platform sales
1005,Ensure listings adhere to brand guidelines and web style guides
1006,"Conduct market research to identify customer trends, preferences, and competitor activities"
1007,"Create compelling product listings with accurate and optimized descriptions, images, pricing, and promotions"
1008,"Monitor and analyze key performance indicators (KPIs) such as conversion rates, click-through rates, and customer engagement metrics"
1009,Utilize data analytics tools and platforms to identify areas for improvement and optimize marketing campaigns
1010,"Collaborate with the creative team to develop engaging visuals, product images, and promotional materials"
1011,Coordinate with cross-functional teams to ensure seamless execution of marketing campaigns and promotions
1012,"Stay up-to-date with industry trends, emerging technologies, and best practices in e-commerce marketing"
1013,Assisting in formulating strategies to build lasting digital connection with consumers
1014,"Planning and monitoring the ongoing company presence on social media (Twitter, Facebook etc.)"
1015,"Launching optimized online adverts through Google Adwords, Facebook etc. to increase company and brand awareness"
1016,"Being actively involved in SEO efforts (keyword, image optimization etc.)"
1017,Keep contact with new and existing customer face to face and cold call
1018,Make appointment with new customer
1019,Meeting sales target by weekly
1020,Have a deep understanding of our products and goals
1021,"Work cross-functionally with sales, engineering and research teams to plan demand generation campaigns."
1022,Create and implement compelling digital marketing content and strategy
1023,Execute and analyze programs and campaigns to improve its ROI & drive leads.
1024,Identify and manage relevant social media channels and the company website.
1025,"To produce marketing collaterals for sales managements such as brochure, presentation slides, videos and update sales deck when applicable"
1026,Support events including seminars by drafting speakers’ speech.
1027,"Keep up to date on the latest technology trends, the competitive landscape, channel dynamics, and characteristics of various target markets to drive the best strategy"
1028,"Managing and developing marketing strategies, campaigns, promotional activities"
1029,Developing and executing new product launch plan
1030,Assisting in managing the production of marketing materials
1031,Assisting in sourcing for advertising opportunities and placing adverts
1032,Coordinating with sales team to fulfill customer needs on new product development
1033,Keeping up with market trends and proposing new products to management
1034,Recommending innovative strategies for winning or maintaining position against the competition
1035,Communicating value proposition of products to the sales team
1036,Developing sales tools that support the selling of products
1037,Working closely with the graphic designer department and supporting all marketing needs and initiatives
1038,Supporting Marketing team on ground activities such as trade show preparation and food truck arrangement
1039,Performing other job-related duties as assigned by the Marketing Manager
1040,"Oversee and manage offline and online marketing campaigns via LinkedIn, Facebook, Instagram, YouTube & E-Store"
1041,"Design high-quality creatives for all media formats including print media and artwork for online ad banners, mobile banners, infographics, social media, brochures, GIFs, and other promotional materials to drive promotions, engagement and grow follower base"
1042,"Develop and engage in the planning for execution of various digital marketing campaigns, including managing SEO, SEA, and SEM strategy and optimizing social media marketing"
1043,"Managing website content to fully utilize the website platform to market (create, update, upload information)"
1044,"Review the website and digital platform analytics weekly to monthly to address where customers are dropping off, and test initiatives that will improve customer engagement. Identify an action plan to improve the performance"
1045,"Plan, develop, and execute email marketing programs"
1046,"Stay up to date with industry trends and emerging technologies, devise strategies, and organize marketing events and trade exhibitions"
1047,Handle sales enquiries from walk/ call in customers.
1048,Build and maintain good relationship with existing and potential customers.
1049,Monitor sales processes including following up on loan applications and liaising with solicitors on loan documentations.
1050,"Assist in the development, production, and distribution of sales/ promotional materials."
1051,Assist and participate in preparation and execution of launches and promotional events.
1052,"Conduct market research and keep abreast with trends, demands, and comparable market prices."
1053,Follow up with relevant parties when necessary.
1054,Develop and execute creative and engaging content for social media platforms
1055,"Conceptualize and produce visually appealing images, graphics, and videos aligned with the brand's aesthetic"
1056,Collaborate with brand manager to plan and implement social media campaigns
1057,"Stay updated on social media trends, algorithms, and best practices"
1058,Write compelling and persuasive copy
1059,Engage with social media community and foster meaningful interactions with followers
1060,Monitor social media metrics and performance data
1061,Identify opportunities for user-generated content and collaborate with influencers
1062,Assist in content creation for other marketing channels
1063,Collaborate with external partners to enhance the quality of visual content
1064,Undertake job tasks assigned by management
1065,Ad-hoc tasks as assigned by superior
1066,Developing promotions for PLC Group with exclusive suppliers
1067,Developing campaigns and collaborative activations targeting VIP customers
1068,"Responsible for Exclusive Brands promotions and activities including advertisements, campaigns, partnerships, and product sponsorships"
1069,Supplier support activities such as negotiating for marketing support and providing post-campaign analysis
1070,Developing activities targeting VIP customers including working with partners & suppliers to strengthen the value of the VIP membership program via communications and promotions
1071,Provide administrative support to Senior Managers and Market employees
1072,"Assist in managing internal & external business engagements, travel arrangements, record maintenance, and other administrative and control-related tasks"
1073,Directly supports a Senior Manager/s and generally supports an entire department
1074,"Coordinates all aspects of executive level manager appointments, meetings, events, and conference calls"
1075,Prepare and review materials and correspondence for meetings
1076,"Maintain visitor log and coordinate employee onboarding, seat allocation, rearrangement, and exit formalities"
1077,"Assist with creation/modification of presentations, spreadsheets, and other various documents"
1078,Coordinate travel arrangements and prepare and distribute schedules/agendas for travel
1079,"Assist COO office in continuity of business planning, recording, and monitoring"
1080,Coordinate control-related follow-up with assigned department
1081,Order supplies and process invoices through Procure to Pay system
1082,Assist in ad-hoc reports and special projects as needed
1083,Provide effective back-up coverage to other teams when the respective EA colleague is on leave
1084,"Train, coach, or guide other administrative staff when required"
1085,"Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients, and assets"
